
Thucydides	NA	1.1.3-1.1.3
Thucydides	NA	1.4.1-1.4.1
Thucydides	NA	1.10.2-1.10.2
Thucydides	NA	1.13.4-1.13.4
Thucydides	NA	1.18.1-1.18.1
Thucydides	NA	1.20.1-1.20.1
Thucydides	NA	1.21.1-1.21.1
Thucydides	NA	1.22.1-1.22.2
Thucydides	NA	1.23.5-1.23.6


Corcyreans	Athens	1.32-1.36
Corinthians	Athens	1.37-1.43
Corinthians	Sparta	1.68-1.71
Corinthians	Sybota	1.53.2-1.53.2
Athenians	Sybota	1.53.4-1.53.4
Athenians	Sparta	1.73-1.78
Archidamus	Sparta	1.80-1.85
Sthenelaidas	Sparta	1.86-1.86
Sthenelaidas	Sparta	1.87.2-1.87.2
Thucydides	NA	1.97.2-1.97.2
Corinthians	Sparta	1.120-1.124
Pausanias	Byzantium	1.128.7-1.128.7
Xerxes	Persia	1.129.3-1.129.3
Themistocles	Asia-Minor	1.137.4-1.137.4
Spartans	Athens	1.139.3-1.139.3
Pericles	Athens	1.140-1.144
Archidamus	Isthmus	2.11-2.11
Pericles	funeral-oration	2.35-2.46
Thucydides	NA	2.48.3-2.48.3
Thucydides	NA	2.54.3-2.54.3
Pericles	plague	2.60-2.64
Plataeans	Plataea	2.71.2-2.71.4
Archidamus	Plataea	2.72.1-2.72.1
Archidamus	Plataea	2.72.3-2.72.3
Archidamus	Plataea	2.74.2-2.74.2
Athenians	Athens	2.73.3-2.73.3
Brasidas+Cnemus	Corinthian_Gulf	2.87-2.87
Phormio	Corinthian_Gulf	2.89-2.89
Thucydides	NA	2.102.6-2.102.6
Mytilenians	Olympia	3.9-3.14
	
Cleon	Athens	3.37-3.41
Diodotus	Athens	3.42-3.48

Plataeans	Plataea	3.53-3.59
Thebans	Plataea	3.61-3.67
Teutiaplus	Embatum	3.30-3.30
Thucydides	NA	3.89.5-3.89.5
Thucydides	NA	3.90.1-3.90.1
Homeric-Hymn-to-Apollo	NA	3.104.4-3.104.5
Ambraciot-herald	Olpae	3.113.3-3.113.3
Ambraciot-herald+Interlocutor	Olpae	3.113.4-3.113.4
Thucydides	NA	3.113.6-3.113.6
Demosthenes	Pylos	4.10-4.10

Spartans	Athens	4.17-4.20
	
Hermocrates	Gela	4.59-4.65
Brasidas	Acanthus	4.85-4.87
Spartan-Messenger	Pylos	4.38.3-4.38.3
Pagondas	Tanagra	4.92-4.92
Hippocrates	Tanagra	4.95-4.95
Spartans	Athens	4.118.1-4.118.10
Brasidas	Northern-Greece	4.126-4.126
Brasidas	Amphipolis	5.9-5.9
Brasidas	Amphipolis	5.10.5-5.10.5
Athenians+Spartans-oath	Amphipolis	5.18.9-5.18.9
Thucydides	NA	5.26-5.26
Athenian+Argive+Peloponnesian-Oath	NA	5.47.8-5.47.8
Thucydides	NA	5.68.2-5.68.2
Athenians	Melos	5.85-5.85
Melians	Melos	5.86-5.86
Athenians	Melos	5.85-5.85
Melians	Melos	5.86-5.86
Athenians	Melos	5.87-5.87
Melians	Melos	5.88-5.88
Athenians	Melos	5.89-5.89
Melians	Melos	5.90-5.90
Athenians	Melos	5.91-5.91
Melians	Melos	5.92-5.92
Athenians	Melos	5.93-5.93
Melians	Melos	5.94-5.94
Athenians	Melos	5.95-5.95
Melians	Melos	5.96-5.96
Athenians	Melos	5.97-5.97
Melians	Melos	5.98-5.98
Athenians	Melos	5.99-5.99
Melians	Melos	5.100-5.100
Athenians	Melos	5.101-5.101
Melians	Melos	5.102-5.102
Athenians	Melos	5.103-5.103
Melians	Melos	5.104-5.104
Athenians	Melos	5.105-5.105
Melians	Melos	5.106-5.106
Athenians	Melos	5.107-5.107
Melians	Melos	5.108-5.108
Athenians	Melos	5.100-5.109
Melians	Melos	5.110-5.110
Athenians	Melos	5.111-5.111
Melians	Melos	5.112.2-5.112.3
Athenians	Melos	5.113-5.113


Thucydides	NA	6.2.1-6.2.1

Nicias	Athens	6.9-6.14
Alcibiades	Athens	6.16-6.18
Nicias	Athens-2	6.20-6.23
	
Hermocrates	Syracuse	6.33-6.34
Athenagoras	Syracuse	6.36-6.40
Syracusan-General	Syracuse	6.41-6.41
Thucydides	NA	6.54.1-6.54.1
Thucydides	NA	6.55.1-6.55.1
Nicias	Syracuse	6.68-6.68

Hermocrates	Camarina	6.76-6.80
Euphemus	Camarina	6.82-6.87
Alcibiades	Camarina	6.89-6.92

Nicias-letter	Athens	7.11-7.15
Nicias	Syracuse-2	7.61-7.64
Gylippus	Syracuse	7.66-7.68
Nicias	Syracuse-3	7.77-7.77


Thucydides	NA	7.87.5-7.87.5
Thucydides	NA	8.24.4-8.24.4
Thucydides	NA	8.41.2-8.41.2
Thucydides	NA	8.53.3-8.53.3
