ῥέω	to flow
ἔχω	to have
εἶμι	come
ἅπτω	to fasten
οἶδα	to know
φημί	to say
λέγω2	to pick; to say
δοκέω	seem
ἐπάγω	to bring on
φεύγω	to flee
ἀπέχω	to keep off
ποιέω	to make
ἀείδω	to sing
ἐμμένω	to abide in
ἐλπίζω	to hope for
ἡσυχάζω	to be still
ἀγγέλλω	to bear a message
συλλέγω	to collect
λανθάνω	to escape notice
εὑρίσκω	to find
ἐξαρτύω	to get ready
ἐκπέμπω	to send out
βουλεύω	to take counsel
ἐπινοέω	to think on
ὁμολογέω	agree
γίγνομαι	become
ἀπόλλυμι	to destroy
εἰσπίπτω	to fall into
μιμνήσκω	to remind
βούλομαι	to will
περίειμι1	be superior
εἰσκομίζω	to carry into
ἐπιβοηθέω	to come to aid
ἐλευθερόω	to free
ἀποδίδωμι	to give back
ἐξέρχομαι	to go out
ἀποκτείνω	to kill
προσβάλλω	to strike
διανοέομαι	to be minded
συλλαμβάνω	to collect
εἰσέρχομαι	to go in
ἐπιβουλεύω	to plot against
ἐπιγίγνομαι	to be born after
παραγίγνομαι	to come near
