χρή	it is fated
δεῖ	it is necessary
ἔχω	to have
εἶμι	come
εἰμί	to be
ἅπτω	to fasten
οἶδα	to know
φημί	to say
ὁράω	to see
λέγω2	to pick; to say
χωρέω	give way
δοκέω	seem
ἐπάγω	to bring on
φαίνω	to bring to light
φεύγω	to flee
ἀπέχω	to keep off
ποιέω	to make
πείθω	to prevail upon
φοβέω	to put to flight
πέμπω	to send
κινέω	to set in motion
πράσσω	do
ἐμμένω	to abide in
νομίζω	to have as a custom; to believe
ἐλπίζω	to hope for
ἀπωθέω	to thrust away
τυγχάνω	(with gen.) to hit the mark
ἡσυχάζω	to be still
ἀγγέλλω	to bear a message
συλλέγω	to collect
λανθάνω	to escape notice
εὑρίσκω	to find
ἐξαρτύω	to get ready
ἡγέομαι	to lead; to consider
ἐκπέμπω	to send out
βουλεύω	to take counsel
ἐπινοέω	to think on
πάρειμι1	be present
ὁμολογέω	agree
γίγνομαι	become
συμβαίνω	meet
πρεσβεύω	to be the elder; to be an ambassador
ἀπόλλυμι	to destroy
εἰσπίπτω	to fall into
ἀναχωρέω	to go back
γιγνώσκω	to learn to know
μιμνήσκω	to remind
συστρέφω	to twist up into a ball
βούλομαι	to will
περίειμι1	be superior
νεωτερίζω	to attempt anything new
εἰσκομίζω	to carry into
ἐπιβοηθέω	to come to aid
διαφθείρω	to destroy
ἐλευθερόω	to free
ἀποδίδωμι	to give back
ἐξέρχομαι	to go out
ἀποκτείνω	to kill
ἀνοίγνυμι	to open
καθίστημι	to set down
προσβάλλω	to strike
διανοέομαι	to be minded
συλλαμβάνω	to collect
εἰσέρχομαι	to go in
αἰσθάνομαι	to perceive
ἐπιγίγνομαι	to be born after
παρασκευάζω	to get ready
ἐγκαταλείπω	to leave behind
ἀντιλαμβάνω	to receive instead of
παραγίγνομαι	to come near
